seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
223,3232273,completed,1785302211.205,1785302213.195,925.804,927.794,1.990
224,4101901,completed,1785302211.605,1785302213.967,926.204,928.566,2.362
225,2803829,completed,1785302212.041,1785302215.226,926.640,929.825,3.185
226,3272837,completed,1785302212.498,1785302216.086,927.097,930.685,3.588
227,3616888,completed,1785302213.192,1785302215.332,927.791,929.931,2.140
228,2967868,completed,1785302213.750,1785302216.685,928.349,931.284,2.935
229,2904743,completed,1785302214.015,1785302217.197,928.614,931.796,3.182
230,3051648,completed,1785302214.270,1785302216.410,928.869,931.009,2.140
231,3927662,completed,1785302215.036,1785302216.774,929.635,931.373,1.738
232,3210515,completed,1785302215.357,1785302216.945,929.956,931.544,1.588
233,3199000,completed,1785302216.028,1785302217.615,930.627,932.214,1.587
234,3446996,completed,1785302216.295,1785302218.501,930.894,933.100,2.206
235,4296462,completed,1785302217.332,1785302218.801,931.931,933.400,1.469
236,4344792,completed,1785302218.861,1785302220.128,933.460,934.727,1.267
237,3652466,completed,1785302220.199,1785302222.845,934.798,937.444,2.646
238,4076783,completed,1785302221.518,1785302223.480,936.117,938.079,1.962
239,4132621,completed,1785302222.879,1785302224.139,937.478,938.738,1.260
240,3058960,completed,1785302223.785,1785302224.946,938.383,939.544,1.161
241,3015752,completed,1785302224.674,1785302225.946,939.273,940.545,1.272
242,3901483,completed,1785302226.003,1785302227.605,940.602,942.204,1.602
243,3019871,completed,1785302227.145,1785302228.257,941.744,942.856,1.112
244,2823944,completed,1785302227.835,1785302230.630,942.433,945.228,2.795
245,3867432,completed,1785302229.480,1785302230.710,944.079,945.309,1.230
246,4248363,completed,1785302230.300,1785302233.927,944.898,948.525,3.627
247,2937483,completed,1785302230.896,1785302234.850,945.495,949.449,3.954
248,3927406,completed,1785302231.692,1785302235.344,946.291,949.943,3.652
249,3369120,completed,1785302231.778,1785302233.485,946.376,948.083,1.707
250,3979424,completed,1785302232.212,1785302236.015,946.811,950.614,3.803
251,3826527,completed,1785302232.662,1785302234.994,947.260,949.592,2.332
252,3339208,completed,1785302232.909,1785302234.748,947.508,949.347,1.839
253,3578474,completed,1785302233.885,1785302236.635,948.483,951.233,2.750
254,3050092,completed,1785302234.632,1785302236.131,949.231,950.730,1.499
255,4493293,completed,1785302236.145,1785302237.866,950.744,952.465,1.721
256,3347049,completed,1785302237.425,1785302239.081,952.024,953.680,1.656
257,3517050,completed,1785302239.037,1785302241.200,953.636,955.799,2.163
258,3337296,completed,1785302239.723,1785302241.235,954.322,955.834,1.512
259,2860414,completed,1785302240.446,1785302242.602,955.045,957.201,2.156
260,3895639,completed,1785302241.670,1785302244.584,956.269,959.183,2.914
261,3565271,completed,1785302242.847,1785302244.402,957.446,959.001,1.555
262,2878729,completed,1785302244.767,1785302245.956,959.366,960.555,1.189
263,2958747,completed,1785302246.187,1785302248.707,960.786,963.306,2.520
264,2756481,completed,1785302246.765,1785302248.735,961.363,963.333,1.970
265,3197726,completed,1785302247.638,1785302250.155,962.237,964.754,2.517
266,3248331,completed,1785302248.837,1785302251.160,963.436,965.759,2.323
267,3787816,completed,1785302249.809,1785302252.068,964.408,966.667,2.259
268,4143760,completed,1785302251.184,1785302254.395,965.782,968.993,3.211
269,3281037,completed,1785302251.941,1785302256.349,966.540,970.948,4.408
270,3080711,completed,1785302252.530,1785302255.247,967.129,969.846,2.717
271,4274919,completed,1785302254.353,1785302256.763,968.952,971.362,2.410
272,3932058,completed,1785302256.592,1785302258.903,971.191,973.502,2.311
273,3876034,completed,1785302258.640,1785302259.996,973.239,974.595,1.356
274,4316869,completed,1785302259.805,1785302261.051,974.404,975.650,1.246
275,3790948,completed,1785302261.182,1785302262.496,975.781,977.095,1.314
276,2942974,completed,1785302263.699,1785302265.177,978.298,979.776,1.478
277,2809832,completed,1785302265.420,1785302266.927,980.019,981.526,1.507
278,3680384,completed,1785302266.275,1785302267.510,980.874,982.109,1.235
279,2991811,completed,1785302268.006,1785302270.705,982.605,985.304,2.699
280,3209696,completed,1785302268.978,1785302271.187,983.577,985.786,2.209
281,3313131,completed,1785302271.757,1785302274.012,986.356,988.611,2.255
282,3051649,completed,1785302272.533,1785302273.357,987.132,987.956,0.824
283,3847291,completed,1785302274.812,1785302277.082,989.411,991.681,2.270
284,3004347,completed,1785302277.169,1785302280.717,991.767,995.315,3.548
285,3020726,completed,1785302278.143,1785302279.773,992.741,994.371,1.630
286,4078061,completed,1785302280.605,1785302281.507,995.204,996.106,0.902
287,3047299,completed,1785302282.531,1785302284.112,997.129,998.710,1.581
288,2793640,completed,1785302283.528,1785302286.361,998.127,1000.960,2.833
289,4184374,completed,1785302284.901,1785302286.021,999.500,1000.620,1.120
290,3885102,completed,1785302286.702,1785302288.238,1001.301,1002.837,1.536
291,4003802,completed,1785302288.558,1785302291.008,1003.157,1005.607,2.450
292,3639369,completed,1785302289.097,1785302291.306,1003.696,1005.905,2.209
293,2920383,completed,1785302290.428,1785302291.704,1005.027,1006.303,1.276
294,3004348,completed,1785302291.010,1785302292.237,1005.609,1006.836,1.227
295,2993920,completed,1785302291.748,1785302293.835,1006.347,1008.434,2.087
296,3055848,completed,1785302292.601,1785302293.860,1007.200,1008.459,1.259
297,3201874,completed,1785302293.196,1785302294.388,1007.795,1008.987,1.192
298,4464183,completed,1785302293.453,1785302294.932,1008.052,1009.531,1.479
299,3446997,completed,1785302294.238,1785302296.693,1008.837,1011.292,2.455
300,4361994,completed,1785302295.441,1785302297.913,1010.040,1012.512,2.472
301,3439326,completed,1785302295.998,1785302298.641,1010.597,1013.240,2.643
302,2926376,completed,1785302296.925,1785302299.130,1011.524,1013.729,2.205
303,3801012,completed,1785302298.417,1785302300.786,1013.015,1015.384,2.369
