seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
242,3901483,completed,1783538298.853,1783538300.316,940.603,942.066,1.463
243,3019871,completed,1783538299.993,1783538300.974,941.743,942.724,0.981
244,2823944,completed,1783538300.684,1783538303.204,942.434,944.954,2.520
245,3867432,completed,1783538302.328,1783538303.435,944.078,945.185,1.107
246,4248363,completed,1783538303.148,1783538308.392,944.898,950.142,5.244
247,2937483,completed,1783538303.745,1783538308.792,945.495,950.542,5.047
248,3927406,completed,1783538304.542,1783538309.512,946.291,951.261,4.970
249,3369120,completed,1783538304.627,1783538306.378,946.377,948.128,1.751
250,3979424,completed,1783538305.060,1783538309.501,946.810,951.251,4.441
251,3826527,completed,1783538305.511,1783538307.360,947.261,949.110,1.849
252,3339208,completed,1783538305.757,1783538307.566,947.507,949.316,1.809
253,3578474,completed,1783538306.734,1783538309.558,948.484,951.308,2.824
254,3050092,completed,1783538307.481,1783538309.205,949.230,950.954,1.724
255,4493293,completed,1783538308.993,1783538310.454,950.743,952.204,1.461
256,3347049,completed,1783538310.274,1783538311.710,952.024,953.460,1.436
257,3517050,completed,1783538311.886,1783538313.997,953.636,955.747,2.111
258,3337296,completed,1783538312.571,1783538314.062,954.321,955.812,1.491
259,2860414,completed,1783538313.295,1783538314.711,955.045,956.461,1.416
260,3895639,completed,1783538314.518,1783538316.986,956.268,958.736,2.468
261,3565271,completed,1783538315.699,1783538317.273,957.449,959.023,1.574
262,2878729,completed,1783538317.616,1783538318.777,959.366,960.527,1.161
263,2958747,completed,1783538319.036,1783538322.181,960.786,963.931,3.145
264,2756481,completed,1783538319.613,1783538322.280,961.363,964.030,2.667
265,3197726,completed,1783538320.486,1783538323.363,962.236,965.113,2.877
266,3248331,completed,1783538321.687,1783538324.029,963.436,965.778,2.342
267,3787816,completed,1783538322.659,1783538325.226,964.408,966.975,2.567
268,4143760,completed,1783538324.032,1783538326.911,965.782,968.661,2.879
269,3281037,completed,1783538324.789,1783538328.549,966.539,970.299,3.760
270,3080711,completed,1783538325.377,1783538328.297,967.127,970.047,2.920
271,4274919,completed,1783538327.201,1783538329.449,968.951,971.199,2.248
272,3932058,completed,1783538329.442,1783538331.697,971.191,973.446,2.255
273,3876034,completed,1783538331.489,1783538332.646,973.239,974.396,1.157
