seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
386,4126404,completed,1783546379.982,1783546381.190,674.613,675.821,1.208
387,3968351,completed,1783546381.190,1783546382.661,675.821,677.292,1.471
388,2701614,completed,1783546382.661,1783546384.098,677.292,678.729,1.437
389,4395993,completed,1783546384.099,1783546386.976,678.730,681.607,2.877
390,3733725,completed,1783546386.979,1783546388.307,681.610,682.938,1.328
391,3010113,completed,1783546388.307,1783546389.418,682.938,684.049,1.111
392,3936312,completed,1783546389.419,1783546392.013,684.050,686.644,2.594
393,3517136,completed,1783546392.015,1783546393.181,686.646,687.812,1.166
394,4054893,completed,1783546393.182,1783546394.717,687.813,689.348,1.535
395,4167464,completed,1783546394.717,1783546395.941,689.348,690.572,1.224
